id,symbol,# of Res Gene was in
HGNC:701,ARNTL,1
HGNC:751,ASMTL,1
HGNC:13825,ASPSCR1,1
HGNC:23805,ASXL2,1
HGNC:785,ATF3,1
HGNC:589,ATG5,1
HGNC:29034,ATMIN,1
HGNC:13553,ATP11B,1
HGNC:799,ATP1A1,1
HGNC:816,ATP2B3,1
HGNC:870,ATP7B,1
HGNC:33279,ATXN1L,1
HGNC:910,AZGP1,1
HGNC:924,B4GALT1,1
HGNC:13450,BANP,1
HGNC:957,BASP1,1
HGNC:25163,BATF2,1
HGNC:959,BAX,1
HGNC:16657,BCL2L14,1
HGNC:1002,BCL6B,1
HGNC:16863,BCLAF1,1
HGNC:1034,BECN1,1
HGNC:30933,BEX2,1
HGNC:16617,BHLHE41,1
HGNC:4332,BICRA,1
HGNC:1051,BIK,1
HGNC:1052,BIN1,1
HGNC:593,BIRC5,1
HGNC:13702,BIRC7,1
HGNC:1055,BLCAP,1
HGNC:33495,BLID,1
HGNC:14211,BLNK,1
HGNC:24132,BMF,1
HGNC:20869,BMP10,1
HGNC:1069,BMP2,1
HGNC:1071,BMP4,1
HGNC:1078,BMPR2,1
HGNC:1085,BNIP3L,1
HGNC:1104,BRD3,1
HGNC:14310,BRD7,1
HGNC:11551,BRF1,1
HGNC:2687,BRINP1,1
HGNC:17262,BRMS1,1
HGNC:1132,BTG3,1
HGNC:13862,BTG4,1
HGNC:21087,BTLA,1
HGNC:28519,C11orf65,1
HGNC:44654,C15orf65,1
HGNC:33731,C3orf70,1
HGNC:30905,C8orf34,1
HGNC:25097,CABLES1,1
HGNC:1391,CACNA1D,1
HGNC:15460,CACNA2D3,1
HGNC:1424,CAD,1
HGNC:5951,CADM1,1
HGNC:29849,CADM2,1
HGNC:17601,CADM3,1
HGNC:30825,CADM4,1
HGNC:24190,CAMK2N1,1
HGNC:19721,CANT1,1
HGNC:1474,CAPG,1
HGNC:22933,CASC2,1
HGNC:1503,CASP2,1
HGNC:1506,CASP5,1
HGNC:1514,CASR,1
HGNC:1516,CAT,1
HGNC:1527,CAV1,1
HGNC:9400,CAVIN3,1
HGNC:1549,CBR3,1
HGNC:1555,CBX5,1
HGNC:24236,CCAR1,1
HGNC:23360,CCAR2,1
HGNC:22225,CCDC136,1
HGNC:34454,CCDC154,1
HGNC:7885,CCN3,1
HGNC:19437,CCNB1IP1,1
HGNC:1581,CCNC,1
HGNC:1587,CCNDBP1,1
HGNC:1621,CCT6B,1
HGNC:1633,CD19,1
HGNC:19137,CD276,1
HGNC:1663,CD36,1
HGNC:1678,CD4,1
HGNC:11919,CD40,1
HGNC:1688,CD58,1
HGNC:6210,CD82,1
HGNC:24357,CDCP1,1
HGNC:1753,CDH13,1
HGNC:1756,CDH17,1
HGNC:1763,CDH4,1
